hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 300.00000, 239.993, -29.9854, 239.672, -150.002, 239.966, 89.9714, 0.14031, 138.536, 1.33317E-012, 121.487, 9.09495E-013, 180
0, 600.00000, 240.11, -30.0349, 239.628, -149.953, 239.331, 89.958, 0.140243, 138.487, 8.85993E-012, -177.794, 7.29015E-012, 86.4237
0, 900.00000, 240.181, -30.0054, 239.371, -149.958, 239.485, 89.9334, 0.140201, 138.516, 6.46344E-012, -116.227, 0, 0
0, 1200.00000, 240.082, -30.0045, 239.409, -149.969, 239.535, 89.9428, 0.140258, 138.517, 3.98918E-012, 139.044, 7.33258E-012, 97.125
0, 1500.00000, 239.944, -29.9972, 239.45, -149.986, 239.655, 89.9547, 0.308744, 138.524, 2.92964E-012, 75.9638, 0, 0
0, 1800.00000, 239.809, -29.9872, 239.379, -150, 239.714, 89.9574, 0.982923, 138.534, 3.22408E-012, -99.1302, 7.27596E-012, 90
0, 2100.00000, 239.873, -30.009, 239.388, -149.98, 239.454, 89.9532, 0.982665, 138.513, 9.4791E-012, -131.962, 4.54747E-013, 0
0, 2400.00000, 239.928, -30.0186, 239.234, -149.96, 239.211, 89.9367, 0.982442, 138.503, 3.9321E-012, 112.301, 4.54747E-013, 180
0, 2700.00000, 239.708, -29.9724, 239.272, -150.015, 239.83, 89.9546, 0.983334, 138.549, 7.51645E-012, -120.444, 7.27596E-012, 90
0, 3000.00000, 239.956, -30.02, 239.34, -149.96, 239.289, 89.9431, 0.308731, 138.502, 1.27117E-011, 157.937, 7.29015E-012, -93.5763
0, 3300.00000, 239.944, -29.9967, 239.29, -149.977, 239.523, 89.9415, 0.140339, 138.525, 3.46421E-012, 62.3838, 7.27596E-012, 90
1, 0.00000, 239.962, -29.9925, 239.222, -149.976, 239.517, 89.9351, 0.140329, 138.529, 1.06443E-011, -165.147, 1.4559E-011, 88.2101
1, 300.00000, 239.96, -29.963, 239.096, -149.994, 239.773, 89.9263, 0.14033, 138.559, 6.73355E-012, -57.5845, 7.27596E-012, -90
1, 600.00000, 239.927, -29.9852, 239.283, -149.988, 239.646, 89.9432, 0.140348, 138.536, 5.54223E-012, -165.75, 1.45519E-011, 90
1, 900.00000, 239.778, -29.9863, 239.303, -150, 239.648, 89.9543, 0.140435, 138.535, 1.18159E-011, 175.585, 7.33258E-012, -97.125
1, 1200.00000, 240.811, -29.7274, 235.973, -149.951, 240.114, 89.6209, 0.139834, 138.794, 7.87363E-012, -126.043, 7.29015E-012, -93.5763
1, 1500.00000, 239.832, -29.9919, 239.34, -149.993, 239.608, 89.9536, 0.140394, 138.53, 3.66144E-012, -27.7585, 7.33258E-012, -97.125
1, 1800.00000, 239.743, -29.9781, 239.278, -150.009, 239.738, 89.955, 0.140456, 138.544, 6.17257E-012, -62.137, 9.09495E-013, 0
1, 2100.00000, 239.772, -29.9576, 239.127, -150.015, 239.87, 89.9413, 0.14044, 138.564, 1.31644E-011, 10.4487, 1.46157E-011, -84.6442
1, 2400.00000, 239.734, -29.9431, 238.983, -150.023, 239.948, 89.9323, 0.47757, 138.578, 1.12178E-011, -43.5628, 0, 0
1, 2700.00000, 239.736, -29.9342, 238.861, -150.023, 239.954, 89.922, 0.983227, 138.587, 5.56376E-012, -19.0829, 7.29015E-012, 86.4237
1, 3000.00000, 239.825, -29.9319, 238.736, -150.01, 239.88, 89.9059, 0.982861, 138.59, 1.78958E-011, -175.263, 7.27596E-012, 90
1, 3300.00000, 239.817, -29.9232, 238.784, -150.022, 240.032, 89.9108, 0.982894, 138.598, 5.52903E-012, -104.893, 9.09495E-013, 0
2, 0.00000, 239.728, -29.9347, 239.082, -150.035, 240.131, 89.9401, 0.983252, 138.587, 1.46723E-012, -171.085, 4.54747E-013, 180
2, 300.00000, 239.651, -29.9958, 239.736, -150.025, 239.903, 89.9973, 0.767268, 138.526, 5.41208E-012, -36.0274, 7.29015E-012, 86.4237
2, 600.00000, 239.706, -29.9936, 239.703, -150.02, 239.892, 89.991, 0.923755, 138.528, 4.81882E-012, 58.1379, 7.27596E-012, 90
2, 900.00000, 239.669, -29.9872, 239.673, -150.027, 239.948, 89.9911, 0.923891, 138.534, 1.05132E-011, 170.665, 7.27596E-012, 90
2, 1200.00000, 239.543, -29.9914, 239.677, -150.034, 239.895, 89.9998, 0.924377, 138.53, 7.91737E-012, -147.907, 9.09495E-013, 0
2, 1500.00000, 239.575, -29.9897, 239.645, -150.031, 239.886, 89.9954, 0.297296, 138.532, 1.06442E-011, 9.83959, 0, 0
2, 1800.00000, 239.695, -30.0236, 239.693, -149.997, 239.498, 89.9901, 0.140486, 138.498, 1.54752E-011, 147.069, 0, 0
2, 2100.00000, 239.552, -29.9921, 239.725, -150.036, 239.93, 90.0037, 0.140567, 138.53, 3.03048E-012, 69.6955, 7.27596E-012, 90
2, 2400.00000, 239.675, -29.9902, 239.706, -150.026, 239.936, 89.994, 0.140497, 138.531, 5.75327E-012, -150.396, 7.27596E-012, 90
2, 2700.00000, 239.862, -29.9812, 239.559, -150.012, 239.935, 89.9707, 0.140388, 138.54, 1.59936E-011, 163.481, 0, 0
2, 3000.00000, 239.716, -29.9787, 239.593, -150.029, 240.006, 89.9832, 0.140471, 138.543, 6.72918E-012, -111.689, 7.29015E-012, 86.4237
2, 3300.00000, 239.604, -29.9693, 239.589, -150.046, 240.13, 89.9904, 0.140537, 138.552, 9.58891E-013, 173.191, 7.29015E-012, 86.4237
3, 0.00000, 239.611, -29.9611, 239.499, -150.047, 240.16, 89.9826, 0.140534, 138.561, 1.00124E-012, 145.408, 7.27596E-012, 90
3, 300.00000, 239.563, -29.975, 239.667, -150.045, 240.11, 89.998, 0.140562, 138.547, 6.89262E-012, 20.2657, 7.40275E-012, 79.3803
3, 600.00000, 239.531, -29.9779, 239.718, -150.048, 240.115, 90.0043, 0.140581, 138.544, 5.01383E-012, 3.90049, 4.54747E-013, 0
3, 900.00000, 239.706, -29.9834, 239.681, -150.027, 240.001, 89.9901, 0.14048, 138.538, 5.50738E-012, -147.54, 7.27596E-012, -90
3, 1200.00000, 239.848, -30.0031, 239.741, -150.002, 239.798, 89.9855, 0.140396, 138.519, 3.30307E-012, 18.0452, 4.54747E-013, 0
3, 1500.00000, 239.847, -29.9926, 239.643, -150.005, 239.851, 89.9776, 0.296959, 138.529, 3.03411E-012, 160.292, 1.45519E-011, -90
3, 1800.00000, 239.577, -29.9972, 239.751, -150.028, 239.884, 90.0031, 0.924242, 138.524, 1.08945E-011, -167.341, 7.29015E-012, -93.5763
3, 2100.00000, 239.407, -30.0137, 239.966, -150.037, 239.844, 90.03, 1.76882, 138.508, 4.75866E-012, -175.89, 7.27596E-012, -90
3, 2400.00000, 239.478, -29.995, 239.783, -150.037, 239.926, 90.0109, 1.76831, 138.527, 8.34423E-012, -158.416, 9.09495E-013, 0
3, 2700.00000, 239.522, -29.9917, 239.772, -150.036, 239.958, 90.0075, 1.6112, 138.53, 4.42834E-012, -112.45, 4.54747E-013, 180
3, 3000.00000, 239.721, -29.9893, 239.684, -150.018, 239.918, 89.9879, 0.979645, 138.489, 7.15529E-012, -166.212, 7.29015E-012, -86.4237
3, 3300.00000, 239.858, -29.985, 239.536, -150.004, 239.848, 89.9681, 0.462937, 138.175, 1.01487E-011, -170.327, 1.36424E-012, 0
4, 0.00000, 239.849, -29.9899, 239.673, -150.006, 239.888, 89.9811, 0.10145, 134.025, 1.0898E-012, 12.0426, 7.33258E-012, -97.125
4, 300.00000, 239.515, -29.9974, 239.984, -150.037, 240.017, 90.0295, 0.0571595, 120.698, 4.43745E-012, 132.014, 4.54747E-013, 0
4, 600.00000, 239.508, -29.9833, 239.946, -150.043, 240.131, 90.0287, 0.0306745, 84.221, 1.00639E-011, 168.928, 7.27596E-012, 90
4, 900.00000, 239.561, -29.9813, 240.001, -150.043, 240.198, 90.0297, 0.030288, 82.5709, 5.34578E-012, -130.04, 4.54747E-013, 0
4, 1200.00000, 239.608, -29.9659, 239.831, -150.043, 240.255, 90.0129, 0.0335681, 93.6137, 1.14545E-012, -11.4493, 4.54747E-013, 180
4, 1500.00000, 239.919, -29.9758, 239.847, -150.011, 240.13, 89.9947, 0.0300869, 81.8494, 1.04892E-011, -131.595, 7.33258E-012, -97.125
4, 1800.00000, 239.961, -29.9782, 239.864, -150.003, 240.087, 89.9955, 0.0405935, 13.4876, 5.65344E-012, 57.6282, 1.45519E-011, -90
4, 2100.00000, 239.78, -29.9711, 239.936, -150.018, 240.183, 90.0151, 0.700076, 134.811, 8.13998E-013, 135.707, 0, 0
4, 2400.00000, 239.89, -29.965, 239.872, -150.008, 240.184, 90.0041, 0.666694, 134.042, 1.0646E-011, -129.747, 4.54747E-013, 0
4, 2700.00000, 239.938, -29.9547, 239.869, -150.009, 240.286, 90.0007, 0.986461, 135.324, 2.24099E-012, -74.5537, 7.33258E-012, -82.875
4, 3000.00000, 239.805, -29.9596, 239.973, -150.017, 240.278, 90.0185, 1.46011, 136.114, 1.77522E-011, -158.59, 7.29015E-012, 86.4237
4, 3300.00000, 240.071, -29.9663, 240.027, -149.99, 240.218, 90.0074, 0.64223, 132.322, 4.9673E-012, -157.103, 4.54747E-013, 0
5, 0.00000, 240.182, -29.9474, 239.848, -149.983, 240.277, 89.9873, 0.614325, 131.516, 5.50245E-012, -36.8107, 7.29015E-012, -86.4237
5, 300.00000, 240.123, -29.9577, 240.03, -149.986, 240.279, 90.0067, 0.591534, 130.759, 1.29069E-012, 20.6299, 7.29015E-012, -86.4237
5, 600.00000, 240.38, -29.9554, 240.018, -149.966, 240.287, 89.9911, 0.295587, -24.5438, 7.44748E-012, -147.705, 4.54747E-013, 0
5, 900.00000, 240.471, -29.9558, 240.114, -149.959, 240.328, 89.9946, 0.335416, -25.1903, 6.76438E-012, -157.26, 7.40275E-012, 79.3803
5, 1200.00000, 240.5, -29.9769, 240.403, -149.949, 240.261, 90.018, 0.388691, -25.8661, 8.95677E-012, 149.488, 4.54747E-013, 0
5, 1500.00000, 240.579, -29.9779, 240.484, -149.939, 240.258, 90.0222, 0.459992, -26.5064, 1.90765E-012, 151.526, 7.29015E-012, 86.4237
5, 1800.00000, 240.781, -29.9642, 240.695, -149.922, 240.442, 90.0349, 0.669459, -27.5817, 4.43927E-012, -57.6835, 7.29015E-012, 86.4237
5, 2100.00000, 241.323, -29.9424, 240.972, -149.872, 240.662, 90.0362, 1.00866, -28.3648, 2.78565E-012, -142.253, 9.09495E-013, 180
5, 2400.00000, 241.412, -29.9305, 241.12, -149.868, 240.831, 90.0484, 1.14662, -28.5435, 6.32485E-012, -178.97, 9.09495E-013, 0
5, 2700.00000, 240.874, -29.9443, 240.989, -149.915, 240.721, 90.065, 0.954942, -28.2752, 6.53483E-012, -112.773, 7.27596E-012, 90
5, 3000.00000, 241.095, -29.9993, 241.402, -149.85, 240.202, 90.0903, 0.998578, -26.4881, 2.65713E-012, -25.3316, 0, 0
5, 3300.00000, 240.685, -29.9145, 241.48, -149.937, 241.189, 90.1313, 0.312656, 27.1404, 2.99401E-012, -160.017, 4.54747E-013, 0
6, 0.00000, 239.647, -29.9074, 241.872, -150.035, 241.537, 90.2366, 0.333466, 31.3272, 3.92942E-012, -13.3829, 1.45803E-011, -93.5763
6, 300.00000, 240.254, -29.9085, 243.045, -149.957, 241.844, 90.3251, 0.890388, -8.58989, 6.01227E-012, -153.011, 4.54747E-013, 180
6, 600.00000, 239.896, -29.847, 243.305, -150.024, 242.647, 90.3809, 0.748525, 3.8788, 6.44717E-012, -148.062, 7.27596E-012, 90
6, 900.00000, 242.166, -29.799, 244.744, -149.813, 243.369, 90.406, 2.44767, -22.3072, 5.67625E-012, -31.382, 7.29015E-012, -86.4237
6, 1200.00000, 242.687, -29.8579, 243.705, -149.749, 242.347, 90.2544, 1.87818, -21.4077, 2.68205E-012, 62.8919, 7.27596E-012, -90
6, 1500.00000, 243.376, -29.8808, 243.42, -149.672, 241.901, 90.1786, 1.18274, -10.2172, 4.0481E-012, -67.9371, 0, 0
6, 1800.00000, 243.717, -29.9661, 243.908, -149.574, 241.038, 90.2033, 1.41633, -13.6688, 5.38934E-012, -26.2948, 0, 0
6, 2100.00000, 242.218, -30.0049, 243.394, -149.707, 240.662, 90.2346, 1.83027, -24.301, 5.08582E-012, 25.133, 7.33258E-012, 97.125
6, 2400.00000, 241.332, -30.0098, 244.057, -149.784, 240.979, 90.3578, 2.2322, -26.1165, 3.27803E-012, 148.653, 0, 0
6, 2700.00000, 241.465, -29.9536, 245.28, -149.784, 241.958, 90.4904, 3.79682, -29.5363, 8.56999E-012, 168.522, 9.09495E-013, 0
6, 3000.00000, 240.027, -29.8324, 244.976, -150.001, 243.379, 90.5549, 3.63761, -29.3939, 3.06852E-012, -47.8156, 1.36424E-012, 180
6, 3300.00000, 238.996, -29.9097, 244.052, -150.051, 242.251, 90.5171, 2.89713, -29.356, 6.48769E-012, -145.892, 7.29015E-012, -93.5763
7, 0.00000, 241.349, -29.7987, 244.705, -149.877, 243.343, 90.4575, 3.89142, -29.3871, 1.04716E-011, -134.23, 7.27596E-012, 90
7, 300.00000, 242.491, -29.7801, 245.407, -149.761, 243.599, 90.4695, 4.6034, -29.4355, 4.18333E-012, -130.454, 7.29015E-012, 86.4237
7, 600.00000, 240.959, -29.7295, 244.986, -149.918, 244.014, 90.5298, 3.85382, -27.3329, 3.85869E-012, -34.0412, 7.29015E-012, 86.4237
7, 900.00000, 242.852, -29.8042, 246.234, -149.691, 243.552, 90.5379, 4.43141, -27.3059, 1.08249E-011, -137.767, 7.29015E-012, -93.5763
7, 1200.00000, 244.747, -29.4859, 243.324, -149.577, 244.676, 90.202, 4.90034, -27.2446, 6.9469E-012, -143.904, 7.29015E-012, 86.4237
7, 1500.00000, 244.945, -29.8411, 246.966, -149.444, 243.018, 90.4931, 5.19439, -27.728, 3.99211E-012, 58.6865, 7.29015E-012, 86.4237
7, 1800.00000, 245.504, -29.9078, 248.133, -149.332, 242.608, 90.5813, 5.45341, -26.9883, 3.85869E-012, -145.959, 4.54747E-013, 180
7, 2100.00000, 246.927, -29.8769, 247.67, -149.239, 242.752, 90.4401, 5.71507, -28.0875, 2.82221E-012, -145.67, 9.09495E-013, 180
7, 2400.00000, 246.719, -30.0879, 249.722, -149.105, 241.148, 90.6567, 6.5759, -28.5312, 6.65968E-012, -156.882, 1.4559E-011, 88.2101
7, 2700.00000, 243.783, -29.9445, 247.408, -149.506, 242.296, 90.5929, 5.02051, -27.8816, 9.3476E-012, 177.212, 0, 0
7, 3000.00000, 237.069, -29.8319, 242.582, -150.268, 242.667, 90.4941, 2.30173, -29.1284, 1.62147E-011, 177.589, 9.09495E-013, 180
7, 3300.00000, 242.315, -29.6347, 246.007, -149.792, 244.956, 90.588, 5.96602, -29.3689, 5.49944E-012, -119.745, 7.29015E-012, -93.5763
8, 0.00000, 246.782, -29.69, 246.429, -149.329, 244.02, 90.3551, 6.54947, -29.4521, 3.01005E-012, 127.519, 0, 0
8, 300.00000, 247.807, -29.9539, 247.651, -149.088, 241.653, 90.3861, 6.60883, -29.719, 1.34762E-011, 1.45022, 7.33258E-012, -97.125
8, 600.00000, 247.965, -29.7163, 246.771, -149.214, 243.851, 90.31, 6.66419, -29.4843, 1.05852E-011, -149.683, 7.33258E-012, 82.875
8, 900.00000, 245.743, -29.5038, 245.282, -149.468, 245.193, 90.3418, 6.82452, -29.2751, 8.11727E-012, -52.9696, 7.33258E-012, 97.125
8, 1200.00000, 242.288, -29.4919, 246.576, -149.808, 246.301, 90.676, 6.27287, -27.7235, 5.1394E-012, -76.7323, 7.29015E-012, -93.5763
8, 1500.00000, 243.318, -29.6794, 245.836, -149.68, 244.369, 90.4918, 4.887, -27.4185, 5.04853E-012, -173.535, 7.33258E-012, 82.875
8, 1800.00000, 245.02, -29.5913, 247.791, -149.51, 245.605, 90.6129, 6.76689, -27.97, 2.23978E-012, 142.476, 7.27596E-012, -90
8, 2100.00000, 241.015, -29.8094, 242.385, -149.796, 241.554, 90.2661, 2.74552, -25.7445, 5.28009E-012, -170.081, 4.54747E-013, 0
8, 2400.00000, 238.465, -29.8887, 238.983, -150.025, 239.706, 90.0558, 0.790055, -22.9429, 2.0323E-012, -42.1659, 0, 0
8, 2700.00000, 244.754, -29.629, 243.559, -149.536, 243.544, 90.1964, 5.20508, -29.3277, 1.39766E-012, 47.0601, 7.29015E-012, -86.4237
8, 3000.00000, 248.062, -29.4616, 246.704, -149.284, 246.198, 90.3477, 7.85648, -29.2647, 4.70678E-013, 28.8866, 7.29015E-012, 86.4237
8, 3300.00000, 249.895, -29.6191, 248.596, -149.087, 245.554, 90.3884, 8.00371, -29.4266, 6.27238E-012, 136.469, 1.45803E-011, 86.4237
9, 0.00000, 250.143, -29.6889, 248.78, -149.009, 244.738, 90.3871, 8.11849, -29.4996, 1.18819E-011, 138.685, 7.27596E-012, 90
9, 300.00000, 249.555, -29.6599, 249.183, -149.085, 245.332, 90.4695, 8.27278, -29.4741, 1.41512E-011, 177.698, 7.27596E-012, 90
9, 600.00000, 247.71, -29.5698, 249.533, -149.299, 246.56, 90.6224, 8.50135, -29.3878, 3.53539E-012, 24.7108, 4.54747E-013, 180
9, 900.00000, 249.466, -29.6578, 249.632, -149.083, 245.475, 90.5269, 8.60404, -29.4787, 2.74328E-012, -135.21, 0, 0
9, 1200.00000, 250.217, -29.5127, 248.706, -149.078, 246.444, 90.4062, 8.71062, -29.3369, 9.28207E-012, -97.2121, 4.54747E-013, 180
9, 1500.00000, 249.486, -29.7146, 249.975, -149.026, 244.832, 90.5608, 8.43629, -28.9214, 2.05974E-012, 129.401, 4.54747E-013, 0
9, 1800.00000, 250.154, -29.6598, 247.632, -148.898, 243.642, 90.321, 7.6708, -27.8634, 8.93121E-012, -109.617, 4.54747E-013, 180
9, 2100.00000, 248.306, -29.3751, 248.289, -149.247, 247.267, 90.5234, 7.83193, -26.8926, 5.46985E-012, 160.576, 9.09495E-013, 0
9, 2400.00000, 247.898, -29.451, 248.59, -149.208, 246.373, 90.5832, 8.09361, -27.0436, 3.22871E-012, -163.639, 4.54747E-013, 0
9, 2700.00000, 248.025, -29.3895, 247.895, -149.208, 246.579, 90.5249, 8.50066, -27.7085, 1.82623E-011, 173.566, 1.45803E-011, 86.4237
9, 3000.00000, 248.288, -29.5058, 247.783, -149.139, 245.405, 90.4775, 8.29079, -28.1999, 1.12149E-011, -135.616, 7.29015E-012, -93.5763
9, 3300.00000, 250.952, -29.4631, 249.417, -148.894, 246.183, 90.4982, 10.4697, -29.3167, 1.4745E-011, -156.845, 7.29015E-012, 86.4237
10, 0.00000, 245.408, -29.6647, 243.665, -149.393, 242.673, 90.1885, 5.68911, -29.3898, 1.33181E-011, -169.673, 4.54747E-013, 180
10, 300.00000, 246.797, -29.6643, 247.888, -149.321, 244.771, 90.5138, 7.47914, -29.4562, 4.35001E-012, -128.367, 7.29015E-012, -86.4237
10, 600.00000, 250.889, -29.5857, 251.935, -148.919, 246.554, 90.714, 10.7068, -29.4422, 1.15408E-011, -145.84, 4.54747E-013, 0
10, 900.00000, 249.351, -29.6994, 250.655, -149.016, 245.075, 90.6589, 9.501, -29.5373, 2.72822E-012, -19.4731, 1.45519E-011, 90
10, 1200.00000, 246.623, -30.1354, 247.988, -149.061, 239.718, 90.493, 6.49238, -29.8953, 1.08109E-011, -169.089, 4.54747E-013, 180
10, 1500.00000, 244.917, -30.231, 245.764, -149.202, 238.141, 90.341, 4.64259, -29.8933, 1.05067E-011, -103.134, 7.29015E-012, -93.5763
10, 1800.00000, 252.225, -29.9606, 254.133, -148.62, 243.642, 90.8138, 10.7704, -29.8194, 7.88594E-012, -165.814, 7.27596E-012, 90
10, 2100.00000, 252.134, -29.925, 252.134, -148.656, 243.233, 90.6111, 9.71866, -29.7686, 9.14067E-012, 166.331, 7.29015E-012, -86.4237
10, 2400.00000, 247.551, -29.8773, 247.62, -149.185, 242.733, 90.3978, 6.42857, -29.6364, 2.96459E-012, 85.6013, 4.54747E-013, 180
10, 2700.00000, 253.456, -29.6633, 253.148, -148.676, 246.347, 90.6605, 11.0175, -29.5256, 1.83692E-011, -164.566, 7.27596E-012, -90
10, 3000.00000, 252.194, -29.7346, 252.492, -148.785, 245.636, 90.6499, 10.1205, -29.5841, 6.74525E-012, -126.001, 7.29015E-012, 86.4237
10, 3300.00000, 251.04, -29.7492, 251.145, -148.889, 245.012, 90.5761, 8.78152, -28.9925, 3.94079E-012, -101.229, 7.29015E-012, 93.5763
11, 0.00000, 253.157, -29.6716, 253.405, -148.703, 246.411, 90.6999, 10.3008, -28.7033, 1.72681E-011, -155.08, 1.45803E-011, 86.4237
11, 300.00000, 248.302, -29.7868, 248.96, -149.142, 244.037, 90.5058, 6.51915, -27.6576, 1.42456E-012, -161.384, 7.27596E-012, -90
11, 600.00000, 240.18, -29.9312, 242.058, -149.895, 240.79, 90.2498, 0.743782, -1.78503, 4.83169E-013, -28.0725, 9.09495E-013, 180
11, 900.00000, 238.179, -29.864, 242.181, -150.119, 241.793, 90.3768, 1.00939, -14.9586, 1.28028E-011, -170.287, 0, 0
11, 1200.00000, 247.364, -29.6276, 250.217, -149.264, 245.992, 90.7126, 8.06859, -28.2801, 6.62172E-012, -120.858, 7.33258E-012, 97.125
11, 1500.00000, 250.526, -29.6173, 253.286, -148.967, 247.097, 90.8411, 10.0285, -28.5469, 2.67406E-012, -2.43665, 4.54747E-013, 180
11, 1800.00000, 252.14, -29.609, 252.96, -148.812, 246.832, 90.7161, 10.9092, -29.4693, 4.8089E-012, -118.989, 7.29015E-012, 86.4237
11, 2100.00000, 252.453, -29.6246, 253.649, -148.779, 246.972, 90.7642, 11.2051, -29.4887, 1.12556E-011, -106.353, 7.27596E-012, 90
11, 2400.00000, 252.217, -29.6054, 253.319, -148.803, 246.996, 90.7509, 11.1588, -29.4693, 3.21165E-012, -97.6282, 7.29015E-012, 93.5763
11, 2700.00000, 251.091, -29.6329, 251.881, -148.891, 246.148, 90.6691, 10.2838, -29.4843, 1.07562E-011, -136.606, 1.45519E-011, 90
11, 3000.00000, 241.355, -29.9081, 242.586, -149.769, 240.905, 90.2347, 2.85686, -29.3513, 7.63735E-012, -135.603, 7.29015E-012, -86.4237
11, 3300.00000, 243.854, -29.8476, 245.468, -149.546, 242.432, 90.3907, 4.95475, -29.5298, 8.07128E-012, -43.6446, 7.27596E-012, -90
